City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Aurangabad,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),1764840,19.877263,75.3390241
Amravati,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),1487714,21.15454115,77.64429618
Gurugram,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),236545,28.4646148,77.0299194
Kalyan Dombivali,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),85298.8,19.2391602,73.1293186
Udaipur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),81258,24.578721,73.6862571
Hyderabad,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),80861.28,17.360589,78.4740613
Bhopal,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),74438.7,23.2584857,77.401989
Raipur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),56917.41,21.2380912,81.6336993
Nashik,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),46649.2,20.0112475,73.7902364
Solapur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),43385,17.84990665,75.27632027
Jhansi,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),43000,25.35486455,78.42564421
Ludhiana,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),38292,30.9090157,75.851601
Jaipur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),36402,26.9154576,75.8189817
Jaipur Heritage,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),36402,26.9266072,75.8262757
Kanpur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),35900,26.4609135,80.3217588
Madurai,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),35882,9.9261153,78.1140983
Panchkula,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),34370,30.7137692,76.868276
Gandhinagar,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),31011,23.2232877,72.6492267
Mangaluru,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),30135.6,12.8698101,74.8430082
Haridwar,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),22457,29.9384473,78.1452985
Tiruchirapalli,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),18989.25,10.76316505,78.71326006
Vellore,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),18936,12.7948109,79.0006411
Puducherry,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),18931.79,10.91564885,79.8069488
Bilaspur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),18871.6,28.8680526,79.29838501
Salem,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),17860.72,11.664325,78.146011
Dehradun,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),17763.6,30.3255646,78.0436813
Aligarh,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),16639,27.833333,78.166667
Jammu,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),14747.26,32.7185614,74.8580917
Coimbatore,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),13645.34,11.0018115,76.9628425
Prayagraj,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),13374,25.4381302,81.8338005
Ujjain,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),10572,23.1885131,75.7716562
Anantapur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),9742.53,14.6546235,77.55625984
Ayodhya,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),9673,26.7990707,82.2052321
Rohtak,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),9050,28.9010899,76.5801935
Panvel,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),9000,18.96558885,73.10288131
Rajkot,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),8621.34,22.3053263,70.8028377
Hubli Dharwad,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),7113.5,15.3518378,75.1379848
Shimla,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),6893.76,31.1041526,77.1709729
Dewas,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),6847,23,76.166667
Guntur,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),6805,16.2915189,80.4541588
Tumakuru,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),6274.33,13.3400771,77.1006208
Vijayawada,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),5795.35,16.5087573,80.6185089
Portblair,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),5593.33,11.623377,92.726486
Thoothukudi,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),5508.25,8.8052602,78.1452745
Davangere,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),5494.21,14.4661266,75.9206361
Patna,Economy,Average value of savings deposits in banks in the city,* None,Number (In Crore),5000,25.6093239,85.1235252
