City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Pimpri Chinchwad,Economy,Cluster strength,* None,Number,54.528,18.6279288,73.8009829
Pune,Economy,Cluster strength,* None,Number,54.528,18.521428,73.8544541
Bengaluru,Economy,Cluster strength,* None,Number,53.952,12.9767936,77.590082
Shimla,Economy,Cluster strength,* None,Number,50.268,31.1041526,77.1709729
Surat,Economy,Cluster strength,* None,Number,37.5053963,21.17024,72.831062
Gangtok,Economy,Cluster strength,* None,Number,36.002,27.329046,88.6122673
Navi Mumbai,Economy,Cluster strength,* None,Number,34.269,19.0308262,73.0198537
Thane,Economy,Cluster strength,* None,Number,34.269,19.1943294,72.9701779
Kalyan Dombivali,Economy,Cluster strength,* None,Number,34.269,19.2391602,73.1293186
Namchi,Economy,Cluster strength,* None,Number,33.471,27.1716157,88.41269169
Gurugram,Economy,Cluster strength,* None,Number,28.77,28.4646148,77.0299194
Sagar,Economy,Cluster strength,* None,Number,25.607,21.75617035,88.12173958
Tiruppur,Economy,Cluster strength,* None,Number,25.223,11.1017815,77.345192
Greater Mumbai,Economy,Cluster strength,* None,Number,24.11,19.1074889,72.8718705
Vadodara,Economy,Cluster strength,* None,Number,23.1816692,22.2973142,73.1942567
Vishakhapatnam,Economy,Cluster strength,* None,Number,23.175,17.686815,83.218483
Saharanpur,Economy,Cluster strength,* None,Number,22.787,30.0196485,77.59294245
Ahmedabad,Economy,Cluster strength,* None,Number,21.79237777,23.0216238,72.5797068
Coimbatore,Economy,Cluster strength,* None,Number,19.373,11.0018115,76.9628425
Ludhiana,Economy,Cluster strength,* None,Number,17.828,30.9090157,75.851601
Nashik,Economy,Cluster strength,* None,Number,16.932,20.0112475,73.7902364
Kochi,Economy,Cluster strength,* None,Number,16.52,9.9674277,76.2454436
Aurangabad,Economy,Cluster strength,* None,Number,15.716,19.877263,75.3390241
Silvassa,Economy,Cluster strength,* None,Number,15.59196316,20.2736768,73.0045787
Mangaluru,Economy,Cluster strength,* None,Number,15.174,12.8698101,74.8430082
Faridabad,Economy,Cluster strength,* None,Number,14.745,28.4031478,77.3105561
Panaji,Economy,Cluster strength,* None,Number,14.5,15.4989946,73.8282141
Chennai,Economy,Cluster strength,* None,Number,12.694,13.0836939,80.270186
Jaipur,Economy,Cluster strength,* None,Number,11.31536785,26.9154576,75.8189817
Diu,Economy,Cluster strength,* None,Number,10.98300372,20.71817495,70.93238341
Rourkela,Economy,Cluster strength,* None,Number,10.927,22.2539994,84.85775201
Satna,Economy,Cluster strength,* None,Number,10.654,24.5,81
Nagpur,Economy,Cluster strength,* None,Number,10.642,21.1498134,79.0820556
Vellore,Economy,Cluster strength,* None,Number,10.5,12.7948109,79.0006411
Ajmer,Economy,Cluster strength,* None,Number,10.39739534,26.4691,74.639
Puducherry,Economy,Cluster strength,* None,Number,9.352,10.91564885,79.8069488
Erode,Economy,Cluster strength,* None,Number,9.329,11.3692044,77.67662687
Vasai Virar,Economy,Cluster strength,* None,Number,9.242,19.4210423,72.8197221
Aizawl,Economy,Cluster strength,* None,Number,9.239,23.7435236,92.7382905
Tiruchirapalli,Economy,Cluster strength,* None,Number,9.113,10.76316505,78.71326006
Thoothukudi,Economy,Cluster strength,* None,Number,9.084,8.8052602,78.1452745
Bilaspur,Economy,Cluster strength,* None,Number,8.978,28.8680526,79.29838501
Guwahati,Economy,Cluster strength,* None,Number,8.71,26.1805978,91.753943
Gandhinagar,Economy,Cluster strength,* None,Number,8.595801002,23.2232877,72.6492267
Raipur,Economy,Cluster strength,* None,Number,8.442,21.2380912,81.6336993
Rajkot,Economy,Cluster strength,* None,Number,8.323803675,22.3053263,70.8028377
Prayagraj,Economy,Cluster strength,* None,Number,8.099,25.4381302,81.8338005
Ghaziabad,Economy,Cluster strength,* None,Number,8.038,28.6711527,77.4120356
Bhopal,Economy,Cluster strength,* None,Number,8.014,23.2584857,77.401989
Gwalior,Economy,Cluster strength,* None,Number,7.993,26.2037247,78.1573628
Jodhpur,Economy,Cluster strength,* None,Number,7.95718485,26.2967719,73.0351433
Dhanbad,Economy,Cluster strength,* None,Number,7.786,23.7952809,86.4309638
Kakinada,Economy,Cluster strength,* None,Number,7.663,16.99716705,82.2457999
Kota,Economy,Cluster strength,* None,Number,7.659597265,25.1737019,75.8574194
Ujjain,Economy,Cluster strength,* None,Number,7.644,23.1885131,75.7716562
Udaipur,Economy,Cluster strength,* None,Number,7.643851765,24.578721,73.6862571
Tirupati,Economy,Cluster strength,* None,Number,7.528,13.6316368,79.4231711
Kavaratti,Economy,Cluster strength,* None,Number,7.45,10.55905,72.6365688
Hyderabad,Economy,Cluster strength,* None,Number,7.128,17.360589,78.4740613
Vijayawada,Economy,Cluster strength,* None,Number,6.893,16.5087573,80.6185089
Jammu,Economy,Cluster strength,* None,Number,6.666,32.7185614,74.8580917
Dahod,Economy,Cluster strength,* None,Number,6.418214491,22.8358786,74.2556823
Meerut,Economy,Cluster strength,* None,Number,6.39,28.9826533,77.7081013
Lucknow,Economy,Cluster strength,* None,Number,6.365,26.8381,80.9346001
Salem,Economy,Cluster strength,* None,Number,6.336,11.664325,78.146011
Belagavi,Economy,Cluster strength,* None,Number,6.205,15.8572666,74.5069343
Pasighat,Economy,Cluster strength,* None,Number,6.006,28.0589676,95.3324944
Chandigarh,Economy,Cluster strength,* None,Number,6.006,30.7334421,76.7797143
Rae Bareli,Economy,Cluster strength,* None,Number,5.964,26.25,81.25
Indore,Economy,Cluster strength,* None,Number,5.838,22.7203616,75.8681996
Agra,Economy,Cluster strength,* None,Number,5.64,27.1752554,78.0098161
Bareilly,Economy,Cluster strength,* None,Number,5.465,28.416667,79.383333
Madurai,Economy,Cluster strength,* None,Number,5.187,9.9261153,78.1140983
Jalandhar,Economy,Cluster strength,* None,Number,5.184,31.3323762,75.576889
Karnal,Economy,Cluster strength,* None,Number,5.173,29.6803266,76.9896254
Dehradun,Economy,Cluster strength,* None,Number,5.160038283,30.3255646,78.0436813
Jhansi,Economy,Cluster strength,* None,Number,5.034,25.35486455,78.42564421
Kanpur,Economy,Cluster strength,* None,Number,5.03,26.4609135,80.3217588
Dindigul,Economy,Cluster strength,* None,Number,4.907,10.3303299,78.06739791
Solapur,Economy,Cluster strength,* None,Number,4.648,17.84990665,75.27632027
Thiruvananthapuram,Economy,Cluster strength,* None,Number,4.522,8.4882267,76.947551
Hubli Dharwad,Economy,Cluster strength,* None,Number,4.437,15.3518378,75.1379848
Moradabad,Economy,Cluster strength,* None,Number,4.271,28.8334982,78.7732864
Tirunelveli,Economy,Cluster strength,* None,Number,4.249,8.7012203,77.5792694
Rampur,Economy,Cluster strength,* None,Number,4.194,24.890091,83.73254275
Tumakuru,Economy,Cluster strength,* None,Number,4.106,13.3400771,77.1006208
