City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Bengaluru,Economy,Number of ATMs operating in the city,* None,Number,3452,12.9767936,77.590082
Chennai,Economy,Number of ATMs operating in the city,* None,Number,2982,13.0836939,80.270186
Ahmedabad,Economy,Number of ATMs operating in the city,* None,Number,2036,23.0216238,72.5797068
Pune,Economy,Number of ATMs operating in the city,* None,Number,1858,18.521428,73.8544541
Raipur,Economy,Number of ATMs operating in the city,* None,Number,1750,21.2380912,81.6336993
Kochi,Economy,Number of ATMs operating in the city,* None,Number,1577,9.9674277,76.2454436
Gurugram,Economy,Number of ATMs operating in the city,* None,Number,1503,28.4646148,77.0299194
Jaipur,Economy,Number of ATMs operating in the city,* None,Number,1468,26.9154576,75.8189817
Coimbatore,Economy,Number of ATMs operating in the city,* None,Number,1279,11.0018115,76.9628425
Surat,Economy,Number of ATMs operating in the city,* None,Number,1164,21.17024,72.831062
Bhubaneshwar,Economy,Number of ATMs operating in the city,* None,Number,1075,20.2602964,85.8394521
Dehradun,Economy,Number of ATMs operating in the city,* None,Number,1039,30.3255646,78.0436813
Bhopal,Economy,Number of ATMs operating in the city,* None,Number,1018,23.2584857,77.401989
Jalandhar,Economy,Number of ATMs operating in the city,* None,Number,1000,31.3323762,75.576889
Vadodara,Economy,Number of ATMs operating in the city,* None,Number,949,22.2973142,73.1942567
Hyderabad,Economy,Number of ATMs operating in the city,* None,Number,942,17.360589,78.4740613
Kanpur,Economy,Number of ATMs operating in the city,* None,Number,860,26.4609135,80.3217588
Indore,Economy,Number of ATMs operating in the city,* None,Number,835,22.7203616,75.8681996
Nagpur,Economy,Number of ATMs operating in the city,* None,Number,819,21.1498134,79.0820556
Ranchi,Economy,Number of ATMs operating in the city,* None,Number,789,23.3700501,85.3250387
Madurai,Economy,Number of ATMs operating in the city,* None,Number,780,9.9261153,78.1140983
Guwahati,Economy,Number of ATMs operating in the city,* None,Number,777,26.1805978,91.753943
Chandigarh,Economy,Number of ATMs operating in the city,* None,Number,741,30.7334421,76.7797143
Greater Mumbai,Economy,Number of ATMs operating in the city,* None,Number,728,19.1074889,72.8718705
Panvel,Economy,Number of ATMs operating in the city,* None,Number,693,18.96558885,73.10288131
Varanasi,Economy,Number of ATMs operating in the city,* None,Number,683,25.3356491,83.0076292
