City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Municipal Corporation of Delhi,Economy,Bank branches operating as of 31st March 2019,* None,Number,3841,28.56838425,77.23814069
Bengaluru,Economy,Bank branches operating as of 31st March 2019,* None,Number,2435,12.9767936,77.590082
Chennai,Economy,Bank branches operating as of 31st March 2019,* None,Number,1575,13.0836939,80.270186
Ahmedabad,Economy,Bank branches operating as of 31st March 2019,* None,Number,1475,23.0216238,72.5797068
Hyderabad,Economy,Bank branches operating as of 31st March 2019,* None,Number,1361,17.360589,78.4740613
Kochi,Economy,Bank branches operating as of 31st March 2019,* None,Number,1014,9.9674277,76.2454436
Greater Mumbai,Economy,Bank branches operating as of 31st March 2019,* None,Number,940,19.1074889,72.8718705
Thane,Economy,Bank branches operating as of 31st March 2019,* None,Number,804,19.1943294,72.9701779
Jalandhar,Economy,Bank branches operating as of 31st March 2019,* None,Number,795,31.3323762,75.576889
Lucknow,Economy,Bank branches operating as of 31st March 2019,* None,Number,715,26.8381,80.9346001
Pune,Economy,Bank branches operating as of 31st March 2019,* None,Number,676,18.521428,73.8544541
Kanpur,Economy,Bank branches operating as of 31st March 2019,* None,Number,605,26.4609135,80.3217588
Amritsar,Economy,Bank branches operating as of 31st March 2019,* None,Number,592,31.6343083,74.8736788
Navi Mumbai,Economy,Bank branches operating as of 31st March 2019,* None,Number,591,19.0308262,73.0198537
Jaipur,Economy,Bank branches operating as of 31st March 2019,* None,Number,534,26.9154576,75.8189817
Bhopal,Economy,Bank branches operating as of 31st March 2019,* None,Number,519,23.2584857,77.401989
Indore,Economy,Bank branches operating as of 31st March 2019,* None,Number,490,22.7203616,75.8681996
Varanasi,Economy,Bank branches operating as of 31st March 2019,* None,Number,478,25.3356491,83.0076292
Chandigarh,Economy,Bank branches operating as of 31st March 2019,* None,Number,476,30.7334421,76.7797143
Vadodara,Economy,Bank branches operating as of 31st March 2019,* None,Number,472,22.2973142,73.1942567
Gurugram,Economy,Bank branches operating as of 31st March 2019,* None,Number,468,28.4646148,77.0299194
Surat,Economy,Bank branches operating as of 31st March 2019,* None,Number,454,21.17024,72.831062
Meerut,Economy,Bank branches operating as of 31st March 2019,* None,Number,453,28.9826533,77.7081013
Jodhpur,Economy,Bank branches operating as of 31st March 2019,* None,Number,436,26.2967719,73.0351433
Coimbatore,Economy,Bank branches operating as of 31st March 2019,* None,Number,423,11.0018115,76.9628425
Vishakhapatnam,Economy,Bank branches operating as of 31st March 2019,* None,Number,421,17.686815,83.218483
Bhubaneshwar,Economy,Bank branches operating as of 31st March 2019,* None,Number,421,20.2602964,85.8394521
Tirunelveli,Economy,Bank branches operating as of 31st March 2019,* None,Number,407,8.7012203,77.5792694
Nagpur,Economy,Bank branches operating as of 31st March 2019,* None,Number,380,21.1498134,79.0820556
Amravati,Economy,Bank branches operating as of 31st March 2019,* None,Number,361,21.15454115,77.64429618
Ghaziabad,Economy,Bank branches operating as of 31st March 2019,* None,Number,359,28.6711527,77.4120356
Moradabad,Economy,Bank branches operating as of 31st March 2019,* None,Number,347,28.8334982,78.7732864
Gandhinagar,Economy,Bank branches operating as of 31st March 2019,* None,Number,337,23.2232877,72.6492267
Ajmer,Economy,Bank branches operating as of 31st March 2019,* None,Number,337,26.4691,74.639
Dehradun,Economy,Bank branches operating as of 31st March 2019,* None,Number,322,30.3255646,78.0436813
Ludhiana,Economy,Bank branches operating as of 31st March 2019,* None,Number,316,30.9090157,75.851601
Raipur,Economy,Bank branches operating as of 31st March 2019,* None,Number,313,21.2380912,81.6336993
Faridabad,Economy,Bank branches operating as of 31st March 2019,* None,Number,310,28.4031478,77.3105561
Thiruvananthapuram,Economy,Bank branches operating as of 31st March 2019,* None,Number,308,8.4882267,76.947551
Ranchi,Economy,Bank branches operating as of 31st March 2019,* None,Number,284,23.3700501,85.3250387
Aurangabad,Economy,Bank branches operating as of 31st March 2019,* None,Number,284,19.877263,75.3390241
Vijayawada,Economy,Bank branches operating as of 31st March 2019,* None,Number,284,16.5087573,80.6185089
Agra,Economy,Bank branches operating as of 31st March 2019,* None,Number,280,27.1752554,78.0098161
Pimpri Chinchwad,Economy,Bank branches operating as of 31st March 2019,* None,Number,275,18.6279288,73.8009829
Madurai,Economy,Bank branches operating as of 31st March 2019,* None,Number,273,9.9261153,78.1140983
Rajkot,Economy,Bank branches operating as of 31st March 2019,* None,Number,270,22.3053263,70.8028377
Thoothukudi,Economy,Bank branches operating as of 31st March 2019,* None,Number,268,8.8052602,78.1452745
Jammu,Economy,Bank branches operating as of 31st March 2019,* None,Number,252,32.7185614,74.8580917
Namchi,Economy,Bank branches operating as of 31st March 2019,* None,Number,244,27.1716157,88.41269169
Rampur,Economy,Bank branches operating as of 31st March 2019,* None,Number,240,24.890091,83.73254275
Mangaluru,Economy,Bank branches operating as of 31st March 2019,* None,Number,240,12.8698101,74.8430082
Prayagraj,Economy,Bank branches operating as of 31st March 2019,* None,Number,238,25.4381302,81.8338005
Bilaspur,Economy,Bank branches operating as of 31st March 2019,* None,Number,231,28.8680526,79.29838501
