City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Municipal Corporation of Delhi,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,52,28.56838425,77.23814069
Bengaluru,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,34,12.9767936,77.590082
Hyderabad,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,30,17.360589,78.4740613
Greater Mumbai,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,24,19.1074889,72.8718705
Ahmedabad,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,20,23.0216238,72.5797068
Chennai,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,18,13.0836939,80.270186
Jaipur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,17,26.9154576,75.8189817
Bhopal,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,13,23.2584857,77.401989
Gurugram,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,13,28.4646148,77.0299194
Bhubaneshwar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,10,20.2602964,85.8394521
Shillong,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,9,25.5760446,91.8825282
Portblair,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,8,11.623377,92.726486
Patna,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,7,25.6093239,85.1235252
Coimbatore,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,7,11.0018115,76.9628425
Nagpur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,7,21.1498134,79.0820556
Indore,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,6,22.7203616,75.8681996
Pune,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,6,18.521428,73.8544541
Amritsar,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,6,31.6343083,74.8736788
Thiruvananthapuram,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,5,8.4882267,76.947551
Vishakhapatnam,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,4,17.686815,83.218483
Raipur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,3,21.2380912,81.6336993
Ajmer,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,3,26.4691,74.639
Tirupati,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,3,13.6316368,79.4231711
Nashik,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,3,20.0112475,73.7902364
Jabalpur,Economy,Number of incubation centres & skill development centres (public and private),* None,Number,3,23.1608938,79.9497702
