City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Chennai,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),310523,13.0836939,80.270186
Ahmedabad,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),247770.3,23.0216238,72.5797068
Bengaluru,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),162052.4,12.9767936,77.590082
Surat,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),89019,21.17024,72.831062
Chandigarh,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),85269,30.7334421,76.7797143
Pune,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),76580.42,18.521428,73.8544541
Raipur,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),55944.96,21.2380912,81.6336993
Gurugram,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),49767.85,28.4646148,77.0299194
Coimbatore,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),43026,11.0018115,76.9628425
Ludhiana,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),34343,30.9090157,75.851601
Nagpur,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),32587.52,21.1498134,79.0820556
Nashik,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),27231.74,20.0112475,73.7902364
Dehradun,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),27088.74,30.3255646,78.0436813
Ranchi,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),23945,23.3700501,85.3250387
Vishakhapatnam,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),23813.77,17.686815,83.218483
Kozhikode,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),20069,11.2450558,75.7754716
Tiruppur,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),19146.31,11.1017815,77.345192
Thane,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),18993,19.1943294,72.9701779
Pimpri Chinchwad,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),17408.29,18.6279288,73.8009829
Ajmer,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),16842.51,26.4691,74.639
Vadodara,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),16763.26,22.2973142,73.1942567
Srinagar,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),15368.1,34.0747444,74.8204443
Panipat,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),14381,29.3912753,76.9771675
Puducherry,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),14288.97,10.91564885,79.8069488
Erode,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),14205.06,11.3692044,77.67662687
Karnal,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),13760,29.6803266,76.9896254
Hyderabad,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),13476,17.360589,78.4740613
Jamnagar,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),13417,22.4732415,70.0552102
Rajkot,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),13124.5,22.3053263,70.8028377
Sonipat,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),12842,28.9953758,77.0233627
Vijayawada,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),12582.35,16.5087573,80.6185089
Dindigul,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),12362.5,10.3303299,78.06739791
Peerzadiguda,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),12000,17.3945004,78.5925253
Tiruchirapalli,Economy,Total amount of credit disbursed by banks among the population of the city,* None,Number (In Crore),11965.98,10.76316505,78.71326006
