City,Sector,DataPoint,Denominator,UOM,Result,Latitude,Longitude
Vellore,Economy,Total number of MSME clusters in the city,* None,Number,982.958,12.7948109,79.0006411
Tiruppur,Economy,Total number of MSME clusters in the city,* None,Number,926.758,11.1017815,77.345192
Kavaratti,Economy,Total number of MSME clusters in the city,* None,Number,641.107,10.55905,72.6365688
Silvassa,Economy,Total number of MSME clusters in the city,* None,Number,605.2557663,20.2736768,73.0045787
Panaji,Economy,Total number of MSME clusters in the city,* None,Number,485.772,15.4989946,73.8282141
Gandhinagar,Economy,Total number of MSME clusters in the city,* None,Number,388.480816,23.2232877,72.6492267
Tirupati,Economy,Total number of MSME clusters in the city,* None,Number,378.28,13.6316368,79.4231711
Dharamshala,Economy,Total number of MSME clusters in the city,* None,Number,348.482,32.2143039,76.3196717
Dindigul,Economy,Total number of MSME clusters in the city,* None,Number,330.856,10.3303299,78.06739791
Coimbatore,Economy,Total number of MSME clusters in the city,* None,Number,308.261,11.0018115,76.9628425
Thoothukudi,Economy,Total number of MSME clusters in the city,* None,Number,292.242,8.8052602,78.1452745
Tirunelveli,Economy,Total number of MSME clusters in the city,* None,Number,280.599,8.7012203,77.5792694
Kakinada,Economy,Total number of MSME clusters in the city,* None,Number,279.478,16.99716705,82.2457999
Erode,Economy,Total number of MSME clusters in the city,* None,Number,253.879,11.3692044,77.67662687
Kalyan Dombivali,Economy,Total number of MSME clusters in the city,* None,Number,202.269,19.2391602,73.1293186
Thane,Economy,Total number of MSME clusters in the city,* None,Number,202.269,19.1943294,72.9701779
Navi Mumbai,Economy,Total number of MSME clusters in the city,* None,Number,202.269,19.0308262,73.0198537
Karimnagar,Economy,Total number of MSME clusters in the city,* None,Number,198.925,18.4348122,79.1328042
Kochi,Economy,Total number of MSME clusters in the city,* None,Number,198.403,9.9674277,76.2454436
Namchi,Economy,Total number of MSME clusters in the city,* None,Number,181.168,27.1716157,88.41269169
Ludhiana,Economy,Total number of MSME clusters in the city,* None,Number,179.43,30.9090157,75.851601
Puducherry,Economy,Total number of MSME clusters in the city,* None,Number,176.979,10.91564885,79.8069488
Jalandhar,Economy,Total number of MSME clusters in the city,* None,Number,156.321,31.3323762,75.576889
Madurai,Economy,Total number of MSME clusters in the city,* None,Number,138.489,9.9261153,78.1140983
Ajmer,Economy,Total number of MSME clusters in the city,* None,Number,138.10177,26.4691,74.639
Mangaluru,Economy,Total number of MSME clusters in the city,* None,Number,127.802,12.8698101,74.8430082
Bareilly,Economy,Total number of MSME clusters in the city,* None,Number,127.166,28.416667,79.383333
Thanjavur,Economy,Total number of MSME clusters in the city,* None,Number,124.297,10.7860267,79.1381497
Salem,Economy,Total number of MSME clusters in the city,* None,Number,118.35,11.664325,78.146011
Gurugram,Economy,Total number of MSME clusters in the city,* None,Number,117.681,28.4646148,77.0299194
Rourkela,Economy,Total number of MSME clusters in the city,* None,Number,116.175,22.2539994,84.85775201
Vadodara,Economy,Total number of MSME clusters in the city,* None,Number,115.5528268,22.2973142,73.1942567
Rajkot,Economy,Total number of MSME clusters in the city,* None,Number,112.7335435,22.3053263,70.8028377
Belagavi,Economy,Total number of MSME clusters in the city,* None,Number,110.984,15.8572666,74.5069343
Tiruchirapalli,Economy,Total number of MSME clusters in the city,* None,Number,109.134,10.76316505,78.71326006
Vijayawada,Economy,Total number of MSME clusters in the city,* None,Number,100.761,16.5087573,80.6185089
Tumakuru,Economy,Total number of MSME clusters in the city,* None,Number,99.964,13.3400771,77.1006208
Pune,Economy,Total number of MSME clusters in the city,* None,Number,99.192,18.521428,73.8544541
Pimpri Chinchwad,Economy,Total number of MSME clusters in the city,* None,Number,99.192,18.6279288,73.8009829
Karnal,Economy,Total number of MSME clusters in the city,* None,Number,95.985,29.6803266,76.9896254
Vasai Virar,Economy,Total number of MSME clusters in the city,* None,Number,88.548,19.4210423,72.8197221
Agartala,Economy,Total number of MSME clusters in the city,* None,Number,82.02410643,23.8312377,91.2823821
Udaipur,Economy,Total number of MSME clusters in the city,* None,Number,80.52616048,24.578721,73.6862571
Jammu,Economy,Total number of MSME clusters in the city,* None,Number,79.826,32.7185614,74.8580917
Raipur,Economy,Total number of MSME clusters in the city,* None,Number,79.233,21.2380912,81.6336993
Ghaziabad,Economy,Total number of MSME clusters in the city,* None,Number,77.478,28.6711527,77.4120356
Nashik,Economy,Total number of MSME clusters in the city,* None,Number,72.992,20.0112475,73.7902364
Ahmedabad,Economy,Total number of MSME clusters in the city,* None,Number,69.86076959,23.0216238,72.5797068
Jodhpur,Economy,Total number of MSME clusters in the city,* None,Number,67.75083341,26.2967719,73.0351433
Guwahati,Economy,Total number of MSME clusters in the city,* None,Number,63.543,26.1805978,91.753943
Aurangabad,Economy,Total number of MSME clusters in the city,* None,Number,60.703,19.877263,75.3390241
Dehradun,Economy,Total number of MSME clusters in the city,* None,Number,59.49460207,30.3255646,78.0436813
Dahod,Economy,Total number of MSME clusters in the city,* None,Number,57.83163592,22.8358786,74.2556823
Aizawl,Economy,Total number of MSME clusters in the city,* None,Number,57.215,23.7435236,92.7382905
Bengaluru,Economy,Total number of MSME clusters in the city,* None,Number,55.768,12.9767936,77.590082
Faridabad,Economy,Total number of MSME clusters in the city,* None,Number,51.519,28.4031478,77.3105561
Vishakhapatnam,Economy,Total number of MSME clusters in the city,* None,Number,51.251,17.686815,83.218483
Gangtok,Economy,Total number of MSME clusters in the city,* None,Number,50.638,27.329046,88.6122673
Shivamogga,Economy,Total number of MSME clusters in the city,* None,Number,50.529,14.0558284,75.1312534
Warangal,Economy,Total number of MSME clusters in the city,* None,Number,50.039,17.9820644,79.5970954
Jaipur,Economy,Total number of MSME clusters in the city,* None,Number,49.55624348,26.9154576,75.8189817
Moradabad,Economy,Total number of MSME clusters in the city,* None,Number,48.697,28.8334982,78.7732864
Indore,Economy,Total number of MSME clusters in the city,* None,Number,48.445,22.7203616,75.8681996
Bilaspur,Economy,Total number of MSME clusters in the city,* None,Number,47.803,28.8680526,79.29838501
Amritsar,Economy,Total number of MSME clusters in the city,* None,Number,45.098,31.6343083,74.8736788
Agra,Economy,Total number of MSME clusters in the city,* None,Number,44.981,27.1752554,78.0098161
Surat,Economy,Total number of MSME clusters in the city,* None,Number,43.32510898,21.17024,72.831062
Hubli Dharwad,Economy,Total number of MSME clusters in the city,* None,Number,42.796,15.3518378,75.1379848
Itanagar,Economy,Total number of MSME clusters in the city,* None,Number,41.765,27.0979659,93.6237291
Sagar,Economy,Total number of MSME clusters in the city,* None,Number,41.274,21.75617035,88.12173958
Rampur,Economy,Total number of MSME clusters in the city,* None,Number,38.627,24.890091,83.73254275
Rae Bareli,Economy,Total number of MSME clusters in the city,* None,Number,37.402,26.25,81.25
Bhubaneshwar,Economy,Total number of MSME clusters in the city,* None,Number,37.355,20.2602964,85.8394521
Nagpur,Economy,Total number of MSME clusters in the city,* None,Number,36.885,21.1498134,79.0820556
Thiruvananthapuram,Economy,Total number of MSME clusters in the city,* None,Number,36.443,8.4882267,76.947551
Kanpur,Economy,Total number of MSME clusters in the city,* None,Number,36.112,26.4609135,80.3217588
Ujjain,Economy,Total number of MSME clusters in the city,* None,Number,35.097,23.1885131,75.7716562
Dhanbad,Economy,Total number of MSME clusters in the city,* None,Number,34.998,23.7952809,86.4309638
Meerut,Economy,Total number of MSME clusters in the city,* None,Number,34.756,28.9826533,77.7081013
Patna,Economy,Total number of MSME clusters in the city,* None,Number,34.205,25.6093239,85.1235252
Muzaffarpur,Economy,Total number of MSME clusters in the city,* None,Number,29.758,26.1667052,85.4166314
Imphal,Economy,Total number of MSME clusters in the city,* None,Number,29.487,24.7991162,93.9364419
Davangere,Economy,Total number of MSME clusters in the city,* None,Number,29.039,14.4661266,75.9206361
Solapur,Economy,Total number of MSME clusters in the city,* None,Number,28.709,17.84990665,75.27632027
Aligarh,Economy,Total number of MSME clusters in the city,* None,Number,28.662,27.833333,78.166667
Ranchi,Economy,Total number of MSME clusters in the city,* None,Number,27.292,23.3700501,85.3250387
Satna,Economy,Total number of MSME clusters in the city,* None,Number,26.73,24.5,81
Chennai,Economy,Total number of MSME clusters in the city,* None,Number,24.621,13.0836939,80.270186
Kohima,Economy,Total number of MSME clusters in the city,* None,Number,21.376,25.6618755,94.1019156
Pasighat,Economy,Total number of MSME clusters in the city,* None,Number,19.177,28.0589676,95.3324944
Chandigarh,Economy,Total number of MSME clusters in the city,* None,Number,19.177,30.7334421,76.7797143
Saharanpur,Economy,Total number of MSME clusters in the city,* None,Number,19.006,30.0196485,77.59294245
Greater Mumbai,Economy,Total number of MSME clusters in the city,* None,Number,18.497,19.1074889,72.8718705
Lucknow,Economy,Total number of MSME clusters in the city,* None,Number,17.211,26.8381,80.9346001
Bhagalpur,Economy,Total number of MSME clusters in the city,* None,Number,16.959,25.2494829,86.9828131
Shimla,Economy,Total number of MSME clusters in the city,* None,Number,16.666,31.1041526,77.1709729
Biharsharif,Economy,Total number of MSME clusters in the city,* None,Number,16.449,25.20383185,85.52413405
Shillong,Economy,Total number of MSME clusters in the city,* None,Number,15.074,25.5760446,91.8825282
Gwalior,Economy,Total number of MSME clusters in the city,* None,Number,14.392,26.2037247,78.1573628
Prayagraj,Economy,Total number of MSME clusters in the city,* None,Number,14.326,25.4381302,81.8338005
Amravati,Economy,Total number of MSME clusters in the city,* None,Number,14.092,21.15454115,77.64429618
Portblair,Economy,Total number of MSME clusters in the city,* None,Number,13.753,11.623377,92.726486
Jabalpur,Economy,Total number of MSME clusters in the city,* None,Number,13.579,23.1608938,79.9497702
Kota,Economy,Total number of MSME clusters in the city,* None,Number,13.43920031,25.1737019,75.8574194
Bhopal,Economy,Total number of MSME clusters in the city,* None,Number,13.194,23.2584857,77.401989
Varanasi,Economy,Total number of MSME clusters in the city,* None,Number,13.064,25.3356491,83.0076292
Diu,Economy,Total number of MSME clusters in the city,* None,Number,12,20.71817495,70.93238341
Jhansi,Economy,Total number of MSME clusters in the city,* None,Number,8.326,25.35486455,78.42564421
Hyderabad,Economy,Total number of MSME clusters in the city,* None,Number,7.839,17.360589,78.4740613
Srinagar,Economy,Total number of MSME clusters in the city,* None,Number,5.807,34.0747444,74.8204443
Municipal Corporation of Delhi,Economy,Total number of MSME clusters in the city,* None,Number,0.195,28.56838425,77.23814069
